,Pre_Post,indicator,Question,Answer
0,Pre,254,Q1,5.0
1,Post,254,Q1,5.0
2,Pre,1264,Q1,5.0
3,Post,1264,Q1,5.0
4,Pre,1301,Q1,5.0
